id,class
12420,9
12421,8
12422,10
12423,7
12424,6
12425,15
12426,1
12427,19
12428,7
12429,2
12430,14
12431,12
12432,14
12433,5
12434,7
12435,19
12436,3
12437,13
12438,18
12439,8
12440,1
12441,15
12442,18
12443,2
12444,11
12445,9
12446,11
12447,8
12448,7
12449,20
12450,7
12451,9
12452,7
12453,1
12454,10
12455,7
12456,11
12457,7
12458,7
12459,12
12460,16
12461,6
12462,9
12463,6
12464,18
12465,17
12466,16
12467,3
12468,3
12469,3
12470,6
12471,18
12472,16
12473,18
12474,17
12475,15
12476,13
12477,7
12478,1
12479,17
12480,9
12481,15
12482,10
12483,7
12484,3
12485,18
12486,8
12487,17
12488,1
12489,17
12490,11
12491,15
12492,6
12493,17
12494,11
12495,10
12496,5
12497,6
12498,8
12499,5
12500,13
12501,11
12502,1
12503,8
12504,15
12505,18
12506,11
12507,8
12508,10
12509,7
12510,9
12511,18
12512,4
12513,10
12514,2
12515,13
12516,1
12517,3
12518,20
12519,1
12520,1
12521,11
12522,13
12523,6
12524,9
12525,17
12526,16
12527,18
12528,16
12529,14
12530,12
12531,6
12532,8
12533,18
12534,18
12535,8
12536,3
12537,17
12538,14
12539,20
12540,14
12541,5
12542,8
12543,8
12544,12
12545,19
12546,11
12547,7
12548,9
12549,2
12550,9
12551,15
12552,5
12553,20
12554,2
12555,4
12556,5
12557,14
12558,7
12559,3
12560,15
12561,5
12562,9
12563,3
12564,10
12565,15
12566,11
12567,6
12568,2
12569,18
12570,5
12571,17
12572,17
12573,20
12574,4
12575,14
12576,20
12577,16
12578,3
12579,20
12580,13
12581,14
12582,12
12583,5
12584,9
12585,12
12586,11
12587,10
12588,17
12589,16
12590,6
12591,15
12592,8
12593,7
12594,8
12595,8
12596,1
12597,15
12598,4
12599,14
12600,1
12601,16
12602,6
12603,1
12604,1
12605,11
12606,7
12607,3
12608,18
12609,3
12610,2
12611,4
12612,3
12613,4
12614,13
12615,16
12616,11
12617,15
12618,14
12619,7
12620,14
12621,19
12622,4
12623,1
12624,9
12625,17
12626,6
12627,12
12628,12
12629,5
12630,17
12631,17
12632,3
12633,17
12634,1
12635,4
12636,17
12637,10
12638,17
12639,3
12640,9
12641,9
12642,3
12643,11
12644,13
12645,11
12646,8
12647,5
12648,16
12649,11
12650,6
12651,3
12652,5
12653,1
12654,9
12655,12
12656,16
12657,7
12658,9
12659,12
12660,8
12661,19
12662,19
12663,9
12664,17
12665,8
12666,13
12667,12
12668,5
12669,7
12670,1
12671,5
12672,7
12673,5
12674,8
12675,9
12676,6
12677,15
12678,10
12679,6
12680,10
12681,14
12682,14
12683,10
12684,11
12685,2
12686,15
12687,8
12688,19
12689,5
12690,10
12691,14
12692,17
12693,11
12694,19
12695,1
12696,9
12697,18
12698,12
12699,16
12700,6
12701,14
12702,10
12703,1
12704,13
12705,12
12706,17
12707,14
12708,13
12709,18
12710,12
12711,17
12712,18
12713,1
12714,20
12715,12
12716,2
12717,5
12718,6
12719,13
12720,1
12721,16
12722,4
12723,11
12724,5
12725,8
12726,19
12727,15
12728,2
12729,10
12730,13
12731,16
12732,12
12733,11
12734,8
12735,10
12736,14
12737,17
12738,13
12739,18
12740,17
12741,5
12742,2
12743,7
12744,10
12745,18
12746,18
12747,19
12748,19
12749,16
12750,5
12751,1
12752,11
12753,17
12754,7
12755,1
12756,1
12757,17
12758,13
12759,10
12760,5
12761,15
12762,13
12763,14
12764,3
12765,18
12766,17
12767,17
12768,19
12769,2
12770,18
12771,10
12772,9
12773,1
12774,12
12775,1
12776,7
12777,14
12778,2
12779,1
12780,5
12781,18
12782,11
12783,18
12784,16
12785,5
12786,13
12787,9
12788,5
12789,13
12790,16
12791,1
12792,20
12793,8
12794,12
12795,5
12796,4
12797,2
12798,12
12799,16
12800,2
12801,20
12802,18
12803,7
12804,3
12805,18
12806,4
12807,4
12808,6
12809,9
12810,4
12811,15
12812,5
12813,1
12814,4
12815,8
12816,18
12817,12
12818,14
12819,16
12820,5
12821,9
12822,8
12823,6
12824,15
12825,5
12826,15
12827,14
12828,15
12829,12
12830,4
12831,20
12832,3
12833,4
12834,8
12835,9
12836,16
12837,1
12838,20
12839,18
12840,7
12841,7
12842,7
12843,5
12844,19
12845,2
12846,2
12847,1
12848,2
12849,12
12850,6
12851,20
12852,17
12853,4
12854,18
12855,7
12856,7
12857,8
12858,13
12859,2
12860,15
12861,4
12862,1
12863,16
12864,20
12865,12
12866,1
12867,5
12868,16
12869,18
12870,3
12871,7
12872,1
12873,1
12874,4
12875,5
12876,5
12877,14
12878,2
12879,10
12880,14
12881,15
12882,16
12883,15
12884,1
12885,12
12886,4
12887,13
12888,10
12889,6
12890,16
12891,1
12892,14
12893,18
12894,14
12895,2
12896,4
12897,1
12898,16
12899,8
12900,13
12901,6
12902,14
12903,15
12904,17
12905,15
12906,16
12907,10
12908,16
12909,15
12910,9
12911,9
12912,1
12913,16
12914,1
12915,9
12916,3
12917,11
12918,14
12919,14
12920,1
12921,1
12922,5
12923,1
12924,17
12925,12
12926,6
12927,6
12928,4
12929,17
12930,2
12931,9
12932,9
12933,10
12934,3
12935,5
12936,16
12937,1
12938,13
12939,11
12940,20
12941,7
12942,17
12943,10
12944,17
12945,13
12946,11
12947,1
12948,4
12949,3
12950,17
12951,18
12952,17
12953,1
12954,6
12955,10
12956,1
12957,13
12958,6
12959,8
12960,10
12961,15
12962,15
12963,9
12964,18
12965,13
12966,14
12967,14
12968,18
12969,11
12970,17
12971,4
12972,10
12973,9
12974,13
12975,7
12976,20
12977,5
12978,18
12979,19
12980,1
12981,8
12982,12
12983,17
12984,3
12985,12
12986,13
12987,19
12988,8
12989,10
12990,9
12991,7
12992,13
12993,11
12994,9
12995,18
12996,9
12997,6
12998,13
12999,10
13000,1
13001,8
13002,17
13003,18
13004,9
13005,13
13006,8
13007,14
13008,6
13009,1
13010,10
13011,5
13012,4
13013,6
13014,8
13015,15
13016,13
13017,9
13018,11
13019,13
13020,15
13021,13
13022,7
13023,10
13024,13
13025,1
13026,11
13027,5
13028,19
13029,18
13030,16
13031,15
13032,16
13033,9
13034,13
13035,8
13036,7
13037,6
13038,17
13039,18
13040,13
13041,13
13042,7
13043,14
13044,7
13045,17
13046,18
13047,20
13048,6
13049,9
13050,5
13051,14
13052,1
13053,6
13054,11
13055,15
13056,9
13057,16
13058,14
13059,3
13060,19
13061,7
13062,4
13063,15
13064,18
13065,5
13066,16
13067,13
13068,11
13069,16
13070,6
13071,1
13072,6
13073,16
13074,13
13075,8
13076,6
13077,19
13078,12
13079,11
13080,18
13081,17
13082,9
13083,11
13084,13
13085,6
13086,1
13087,2
13088,1
13089,10
13090,7
13091,14
13092,6
13093,13
13094,3
13095,4
13096,1
13097,3
13098,13
13099,6
13100,1
13101,9
13102,17
13103,20
13104,15
13105,6
13106,11
13107,6
13108,9
13109,18
13110,14
13111,20
13112,9
13113,18
13114,18
13115,2
13116,15
13117,5
13118,4
13119,9
13120,14
13121,14
13122,7
13123,10
13124,8
13125,15
13126,7
13127,14
13128,2
13129,15
13130,11
13131,8
13132,18
13133,14
13134,8
13135,18
13136,10
13137,7
13138,18
13139,9
13140,9
13141,15
13142,15
13143,16
13144,12
13145,1
13146,20
13147,18
13148,7
13149,12
13150,17
13151,14
13152,1
13153,6
13154,1
13155,12
13156,13
13157,12
13158,13
13159,7
13160,3
13161,15
13162,12
13163,16
13164,9
13165,8
13166,14
13167,2
13168,17
13169,16
13170,6
13171,19
13172,9
13173,12
13174,14
13175,11
13176,3
13177,1
13178,10
13179,16
13180,4
13181,10
13182,6
13183,4
13184,14
13185,6
13186,18
13187,7
13188,5
13189,2
13190,10
13191,16
13192,1
13193,8
13194,18
13195,17
13196,3
13197,16
13198,13
13199,9
13200,2
13201,2
13202,6
13203,1
13204,7
13205,8
13206,16
13207,4
13208,15
13209,9
13210,6
13211,7
13212,2
13213,9
13214,3
13215,3
13216,11
13217,6
13218,2
13219,7
13220,11
13221,14
13222,9
13223,6
13224,13
13225,12
13226,10
13227,9
13228,12
13229,17
13230,8
13231,5
13232,17
13233,5
13234,11
13235,1
13236,16
13237,1
13238,9
13239,11
13240,9
13241,12
13242,6
13243,7
13244,10
13245,5
13246,14
13247,7
13248,5
13249,11
13250,1
13251,15
13252,7
13253,15
13254,11
13255,7
13256,9
13257,10
13258,1
13259,12
13260,4
13261,4
13262,15
13263,2
13264,12
13265,9
13266,12
13267,1
13268,17
13269,18
13270,7
13271,17
13272,10
13273,12
13274,19
13275,16
13276,1
13277,11
13278,15
13279,19
13280,19
13281,4
13282,5
13283,20
13284,8
13285,2
13286,10
13287,16
13288,17
13289,8
13290,20
13291,8
13292,9
13293,6
13294,8
13295,7
13296,8
13297,14
13298,14
13299,17
13300,6
13301,15
13302,12
13303,3
13304,7
13305,18
13306,15
13307,3
13308,1
13309,13
13310,1
13311,1
13312,6
13313,1
13314,11
13315,16
13316,5
13317,10
13318,5
13319,16
13320,5
13321,9
13322,4
13323,14
13324,18
13325,17
13326,8
13327,9
13328,5
13329,10
13330,4
13331,14
13332,17
13333,1
13334,14
13335,9
13336,11
13337,4
13338,14
13339,8
13340,17
13341,5
13342,13
13343,8
13344,4
13345,16
13346,15
13347,5
13348,12
13349,11
13350,6
13351,4
13352,7
13353,8
13354,17
13355,13
13356,17
13357,11
13358,12
13359,18
13360,15
13361,1
13362,19
13363,15
13364,16
13365,4
13366,8
13367,19
13368,2
13369,17
13370,13
13371,8
13372,8
13373,10
13374,14
13375,11
13376,13
13377,12
13378,11
13379,16
13380,20
13381,3
13382,6
13383,19
13384,8
13385,7
13386,3
13387,13
13388,7
13389,6
13390,8
13391,1
13392,1
13393,16
13394,5
13395,4
13396,3
13397,5
13398,15
13399,16
13400,16
13401,9
13402,11
13403,1
13404,12
13405,17
13406,14
13407,3
13408,12
13409,9
13410,1
13411,19
13412,7
13413,9
13414,17
13415,9
13416,5
13417,8
13418,11
13419,6
13420,14
13421,16
13422,14
13423,14
13424,4
13425,11
13426,14
13427,6
13428,3
13429,7
13430,7
13431,17
13432,1
13433,3
13434,1
13435,9
13436,16
13437,14
13438,4
13439,3
13440,3
13441,18
13442,19
13443,6
13444,14
13445,15
13446,1
13447,1
13448,6
13449,8
13450,16
13451,6
13452,2
13453,11
13454,1
13455,2
13456,2
13457,11
13458,13
13459,10
13460,7
13461,2
13462,16
13463,16
13464,14
13465,7
13466,4
13467,19
13468,3
13469,4
13470,18
13471,12
13472,9
13473,10
13474,4
13475,6
13476,12
13477,5
13478,18
13479,1
13480,14
13481,10
13482,19
13483,9
13484,12
13485,10
13486,16
13487,1
13488,13
13489,7
13490,9
13491,19
13492,18
13493,1
13494,5
13495,8
13496,7
13497,17
13498,4
13499,11
13500,16
13501,16
13502,12
13503,14
13504,9
13505,6
13506,1
13507,8
13508,14
13509,8
13510,18
13511,18
13512,8
13513,14
13514,1
13515,7
13516,8
13517,12
13518,9
13519,10
13520,11
13521,7
13522,17
13523,7
13524,5
13525,2
13526,17
13527,11
13528,16
13529,16
13530,13
13531,9
13532,14
13533,20
13534,17
13535,18
13536,6
13537,6
13538,15
13539,14
13540,8
13541,3
13542,11
13543,11
13544,12
13545,10
13546,9
13547,3
13548,13
13549,1
13550,18
13551,1
13552,16
13553,16
13554,11
13555,6
13556,20
13557,5
13558,2
13559,7
13560,13
13561,18
13562,4
13563,13
13564,11
13565,12
13566,16
13567,14
13568,14
13569,17
13570,11
13571,2
13572,15
13573,7
13574,15
13575,10
13576,1
13577,9
13578,17
13579,5
13580,11
13581,2
13582,12
13583,2
13584,16
13585,7
13586,16
13587,10
13588,12
13589,1
13590,6
13591,7
13592,19
13593,3
13594,11
13595,16
13596,13
13597,11
13598,2
13599,19
13600,12
13601,14
13602,2
13603,7
13604,13
13605,11
13606,16
13607,9
13608,4
13609,7
13610,11
13611,14
13612,11
13613,7
13614,2
13615,2
13616,6
13617,4
13618,7
13619,7
13620,6
13621,16
13622,2
13623,15
13624,20
13625,17
13626,1
13627,2
13628,18
13629,4
13630,4
13631,2
13632,14
13633,15
13634,4
13635,10
13636,3
13637,7
13638,17
13639,8
13640,20
13641,14
13642,6
13643,2
13644,15
13645,7
13646,1
13647,17
13648,12
13649,16
13650,7
13651,20
13652,3
13653,5
13654,8
13655,18
13656,9
13657,2
13658,9
13659,18
13660,20
13661,20
13662,5
13663,7
13664,1
13665,12
13666,18
13667,3
13668,16
13669,15
13670,15
13671,1
13672,18
13673,15
13674,16
13675,11
13676,4
13677,17
13678,6
13679,16
13680,16
13681,9
13682,3
13683,9
13684,8
13685,2
13686,7
13687,18
13688,15
13689,16
13690,15
13691,20
13692,4
13693,7
13694,10
13695,5
13696,1
13697,12
13698,15
13699,19
13700,2
13701,2
13702,15
13703,10
13704,7
13705,1
13706,1
13707,7
13708,14
13709,16
13710,8
13711,10
13712,3
13713,14
13714,10
13715,18
13716,5
13717,11
13718,20
13719,14
13720,12
13721,8
13722,18
13723,5
13724,2
13725,2
13726,9
13727,19
13728,10
13729,9
13730,5
13731,15
13732,2
13733,13
13734,14
13735,1
13736,16
13737,8
13738,16
13739,16
13740,15
13741,13
13742,4
13743,14
13744,6
13745,15
13746,17
13747,4
13748,17
13749,3
13750,5
13751,6
13752,4
13753,16
13754,8
13755,12
13756,16
13757,8
13758,12
13759,7
13760,14
13761,7
13762,11
13763,14
13764,10
13765,3
13766,9
13767,10
13768,6
13769,1
13770,13
13771,8
13772,14
13773,2
13774,14
13775,19
13776,19
13777,13
13778,13
13779,16
13780,2
13781,5
13782,7
13783,2
13784,14
13785,15
13786,18
13787,11
13788,10
13789,3
13790,4
13791,11
13792,10
13793,8
13794,17
13795,3
13796,10
13797,11
13798,2
13799,8
13800,1
13801,10
13802,13
13803,15
13804,17
13805,4
13806,9
13807,12
13808,1
13809,1
13810,1
13811,11
13812,11
13813,14
13814,12
13815,8
13816,12
13817,11
13818,10
13819,7
13820,1
13821,10
13822,9
13823,17
13824,1
13825,10
13826,18
13827,13
13828,6
13829,13
13830,4
13831,15
13832,17
13833,19
13834,9
13835,14
13836,6
13837,1
13838,17
13839,20
13840,11
13841,14
13842,9
13843,7
13844,7
13845,7
13846,14
13847,11
13848,16
13849,1
13850,12
13851,9
13852,3
13853,14
13854,7
13855,9
13856,3
13857,17
13858,6
13859,17
13860,5
13861,2
13862,10
13863,1
13864,3
13865,5
13866,14
13867,12
13868,5
13869,12
13870,7
13871,20
13872,2
13873,8
13874,11
13875,1
13876,13
13877,13
13878,8
13879,15
13880,1
13881,2
13882,20
13883,17
13884,17
13885,1
13886,14
13887,3
13888,12
13889,18
13890,19
13891,1
13892,12
13893,8
13894,19
13895,1
13896,3
13897,1
13898,7
13899,18
13900,1
13901,2
13902,14
13903,16
13904,15
13905,13
13906,14
13907,7
13908,17
13909,10
13910,7
13911,3
13912,12
13913,14
13914,19
13915,17
13916,14
13917,7
13918,13
13919,17
13920,10
13921,18
13922,15
13923,11
13924,16
13925,11
13926,11
13927,13
13928,6
13929,7
13930,11
13931,19
13932,1
13933,12
13934,18
13935,19
13936,18
13937,15
13938,9
13939,19
13940,18
13941,12
13942,19
13943,8
13944,2
13945,1
13946,5
13947,8
13948,2
13949,13
13950,9
13951,5
13952,1
13953,14
13954,8
13955,8
13956,9
13957,2
13958,1
13959,12
13960,18
13961,18
13962,13
13963,14
13964,1
13965,2
13966,3
13967,12
13968,5
13969,2
13970,14
13971,13
13972,2
13973,1
13974,1
13975,2
13976,18
13977,1
13978,18
13979,6
13980,4
13981,18
13982,11
13983,3
13984,19
13985,14
13986,4
13987,3
13988,18
13989,11
13990,11
13991,15
13992,18
13993,8
13994,3
13995,12
13996,9
13997,12
13998,1
13999,18
14000,11
14001,19
14002,13
14003,14
14004,14
14005,3
14006,16
14007,14
14008,12
14009,15
14010,6
14011,12
14012,6
14013,14
14014,10
14015,9
14016,1
14017,9
14018,7
14019,7
14020,2
14021,11
14022,12
14023,18
14024,9
14025,19
14026,9
14027,2
14028,13
14029,14
14030,6
14031,5
14032,20
14033,18
14034,18
14035,1
14036,7
14037,8
14038,17
14039,8
14040,8
14041,7
14042,15
14043,16
14044,11
14045,12
14046,2
14047,7
14048,4
14049,10
14050,11
14051,17
14052,20
14053,4
14054,10
14055,7
14056,1
14057,7
14058,3
14059,1
14060,6
14061,10
14062,15
14063,9
14064,3
14065,17
14066,13
14067,1
14068,13
14069,18
14070,16
14071,2
14072,1
14073,11
14074,1
14075,7
14076,12
14077,9
14078,16
14079,12
14080,19
14081,17
14082,6
14083,5
14084,10
14085,15
14086,1
14087,4
14088,2
14089,8
14090,17
14091,14
14092,5
14093,17
14094,6
14095,15
14096,14
14097,11
14098,8
14099,4
14100,4
14101,1
14102,5
14103,1
14104,12
14105,3
14106,14
14107,12
14108,17
14109,20
14110,1
14111,13
14112,8
14113,3
14114,16
14115,1
14116,17
14117,20
14118,3
14119,8
14120,16
14121,10
14122,9
14123,14
14124,17
14125,4
14126,15
14127,14
14128,15
14129,17
14130,16
14131,16
14132,18
14133,9
14134,1
14135,16
14136,17
14137,13
14138,15
14139,3
14140,10
14141,1
14142,13
14143,9
14144,15
14145,2
14146,2
14147,12
14148,13
14149,16
14150,3
14151,15
14152,12
14153,8
14154,7
14155,15
14156,18
14157,4
14158,16
14159,17
14160,1
14161,13
14162,20
14163,12
14164,4
14165,10
14166,11
14167,5
14168,10
14169,6
14170,5
14171,5
14172,14
14173,9
14174,11
14175,16
14176,17
14177,6
14178,1
14179,15
14180,5
14181,19
14182,5
14183,10
14184,13
14185,11
14186,17
14187,1
14188,10
14189,13
14190,14
14191,18
14192,17
14193,18
14194,15
14195,8
14196,10
14197,12
14198,9
14199,3
14200,1
14201,11
14202,10
14203,2
14204,2
14205,6
14206,2
14207,15
14208,16
14209,7
14210,20
14211,17
14212,3
14213,4
14214,12
14215,17
14216,6
14217,17
14218,5
14219,12
14220,17
14221,16
14222,1
14223,11
14224,13
14225,16
14226,20
14227,20
14228,13
14229,6
14230,16
14231,4
14232,14
14233,19
14234,10
14235,19
14236,9
14237,17
14238,5
14239,1
14240,12
14241,7
14242,4
14243,15
14244,18
14245,14
14246,10
14247,10
14248,12
14249,3
14250,19
14251,18
14252,1
14253,14
14254,13
14255,14
14256,1
14257,17
14258,3
14259,1
14260,11
14261,6
14262,14
14263,16
14264,6
14265,13
14266,2
14267,13
14268,20
14269,10
14270,15
14271,15
14272,17
14273,11
14274,11
14275,3
14276,16
14277,7
14278,17
14279,7
14280,18
14281,13
14282,3
14283,1
14284,15
14285,13
14286,18
14287,5
14288,12
14289,9
14290,14
14291,10
14292,7
14293,3
14294,3
14295,7
14296,16
14297,7
14298,15
14299,1
14300,6
14301,2
14302,7
14303,18
14304,14
14305,14
14306,3
14307,9
14308,19
14309,8
14310,19
14311,20
14312,7
14313,7
14314,14
14315,5
14316,19
14317,7
14318,11
14319,11
14320,18
14321,10
14322,20
14323,13
14324,18
14325,6
14326,16
14327,14
14328,3
14329,16
14330,3
14331,12
14332,18
14333,17
14334,17
14335,13
14336,9
14337,4
14338,8
14339,17
14340,12
14341,1
14342,2
14343,7
14344,18
14345,9
14346,1
14347,8
14348,19
14349,16
14350,12
14351,6
14352,4
14353,17
14354,19
14355,6
14356,4
14357,4
14358,7
14359,18
14360,13
14361,5
14362,19
14363,13
14364,3
14365,10
14366,14
14367,5
14368,17
14369,19
14370,17
14371,5
14372,9
14373,14
14374,16
14375,13
14376,13
14377,7
14378,15
14379,2
14380,1
14381,15
14382,17
14383,16
14384,7
14385,13
14386,15
14387,13
14388,11
14389,13
14390,3
14391,10
14392,11
14393,20
14394,16
14395,18
14396,2
14397,13
14398,6
14399,9
14400,6
14401,13
14402,3
14403,13
14404,3
14405,7
14406,6
14407,8
14408,1
14409,1
14410,17
14411,7
14412,15
14413,6
14414,14
14415,12
14416,19
14417,5
14418,10
14419,10
14420,8
14421,14
14422,14
14423,5
14424,8
14425,5
14426,6
14427,17
14428,7
14429,10
14430,7
14431,18
14432,12
14433,15
14434,15
14435,6
14436,7
14437,14
14438,7
14439,1
14440,3
14441,17
14442,3
14443,9
14444,15
14445,14
14446,14
14447,15
14448,1
14449,14
14450,3
14451,19
14452,9
14453,1
14454,16
14455,10
14456,10
14457,15
14458,16
14459,9
14460,13
14461,9
14462,13
14463,16
14464,16
14465,10
14466,8
14467,7
14468,7
14469,3
14470,14
14471,14
14472,5
14473,4
14474,17
14475,19
14476,3
14477,7
14478,4
14479,14
14480,7
14481,6
14482,7
14483,6
14484,9
14485,6
14486,20
14487,14
14488,4
14489,6
14490,13
14491,1
14492,14
14493,4
14494,4
14495,2
14496,9
14497,15
14498,15
14499,14
14500,18
14501,4
14502,17
14503,3
14504,2
14505,18
14506,13
14507,11
14508,13
14509,9
14510,17
14511,9
14512,19
14513,4
14514,10
14515,11
14516,20
14517,18
14518,11
14519,7
14520,5
14521,13
14522,13
14523,13
14524,11
14525,4
14526,12
14527,7
14528,6
14529,8
14530,14
14531,15
14532,19
14533,16
14534,5
14535,10
14536,17
14537,6
14538,10
14539,8
14540,7
14541,6
14542,10
14543,7
14544,10
14545,3
14546,15
14547,16
14548,18
14549,17
14550,20
14551,9
14552,15
14553,7
14554,13
14555,14
14556,12
14557,1
14558,1
14559,6
14560,8
14561,3
14562,6
14563,17
14564,18
14565,17
14566,7
14567,10
14568,17
14569,13
14570,13
14571,2
14572,19
14573,7
14574,9
14575,4
14576,7
14577,15
14578,1
14579,10
14580,11
14581,14
14582,4
14583,2
14584,1
14585,12
14586,16
14587,14
14588,16
14589,7
14590,9
14591,16
14592,8
14593,12
14594,18
14595,19
14596,16
14597,15
14598,6
14599,7
14600,8
14601,6
14602,1
14603,8
14604,9
14605,6
14606,13
14607,12
14608,13
14609,14
14610,6
14611,6
14612,5
14613,16
14614,4
14615,13
14616,9
14617,7
14618,7
14619,5
14620,13
14621,3
14622,12
14623,17
14624,9
14625,1
14626,6
14627,4
14628,12
14629,11
14630,19
14631,1
14632,7
14633,14
14634,18
14635,17
14636,8
14637,17
14638,18
14639,17
14640,7
14641,19
14642,6
14643,10
14644,9
14645,6
14646,2
14647,14
14648,12
14649,11
14650,8
14651,17
14652,3
14653,2
14654,14
14655,14
14656,9
14657,4
14658,3
14659,9
14660,7
14661,11
14662,19
14663,5
14664,18
14665,1
14666,9
14667,15
14668,9
14669,19
14670,2
14671,8
14672,9
14673,7
14674,1
14675,1
14676,7
14677,8
14678,17
14679,13
14680,11
14681,14
14682,11
14683,18
14684,15
14685,8
14686,3
14687,16
14688,20
14689,12
14690,7
14691,1
14692,7
14693,12
14694,14
14695,2
14696,15
14697,5
14698,14
14699,13
14700,18
14701,6
14702,3
14703,12
14704,19
14705,3
14706,10
14707,15
14708,7
14709,2
14710,3
14711,5
14712,7
14713,16
14714,6
14715,5
14716,2
14717,14
14718,17
14719,1
14720,18
14721,9
14722,8
14723,20
14724,20
14725,4
14726,3
14727,12
14728,11
14729,16
14730,10
14731,6
14732,16
14733,1
14734,12
14735,18
14736,6
14737,15
14738,5
14739,9
14740,10
14741,5
14742,10
14743,2
14744,14
14745,14
14746,16
14747,1
14748,17
14749,18
14750,1
14751,14
14752,19
14753,6
14754,11
14755,3
14756,9
14757,12
14758,18
14759,11
14760,13
14761,9
14762,10
14763,1
14764,11
14765,16
14766,13
14767,11
14768,17
14769,7
14770,10
14771,6
14772,10
14773,3
14774,15
14775,16
14776,19
14777,16
14778,11
14779,1
14780,18
14781,4
14782,9
14783,12
14784,4
14785,15
14786,2
14787,10
14788,16
14789,16
14790,7
14791,19
14792,3
14793,12
14794,12
14795,10
14796,10
14797,6
14798,10
